unique_id,ds,y
1,2026-01-09 14:00:00,22488
1,2026-01-09 14:00:00,1971
1,2026-01-09 15:00:00,480401
1,2026-01-09 15:00:00,656
1,2026-01-09 15:00:00,16806
1,2026-01-09 15:00:00,16781
1,2026-01-09 15:00:00,473369
1,2026-01-09 15:00:00,23782
1,2026-01-09 15:00:00,3657
1,2026-01-09 15:00:00,995
1,2026-01-09 15:00:00,107
1,2026-01-09 15:00:00,13950
1,2026-01-09 15:00:00,12
1,2026-01-09 15:00:00,639
1,2026-01-09 15:00:00,4052
1,2026-01-09 15:00:00,308
1,2026-01-09 15:00:00,15180
1,2026-01-09 15:00:00,51154
1,2026-01-09 15:00:00,49389
1,2026-01-09 15:00:00,1818
1,2026-01-09 15:00:00,1855
1,2026-01-09 15:00:00,16781
1,2026-01-09 15:00:00,16806
1,2026-01-09 15:00:00,2204
1,2026-01-09 15:00:00,2088
1,2026-01-09 15:00:00,278
1,2026-01-09 15:00:00,278
1,2026-01-09 15:00:00,39011
1,2026-01-09 15:00:00,31226
1,2026-01-09 15:00:00,13253
1,2026-01-09 15:00:00,120
1,2026-01-09 15:00:00,324
1,2026-01-09 15:00:00,171
1,2026-01-09 15:00:00,2963
1,2026-01-09 15:00:00,48436
1,2026-01-09 15:00:00,4113
1,2026-01-09 15:00:00,2784
1,2026-01-09 15:00:00,1930
1,2026-01-09 15:00:00,1825
1,2026-01-09 15:00:00,5608
1,2026-01-09 15:00:00,5305
1,2026-01-09 15:00:00,3433
1,2026-01-09 15:00:00,1383
1,2026-01-09 15:00:00,1282
1,2026-01-09 15:00:00,2784
1,2026-01-09 15:00:00,1261
1,2026-01-09 15:00:00,24309
1,2026-01-09 15:00:00,23782
1,2026-01-09 15:00:00,98254
1,2026-01-09 15:00:00,208
1,2026-01-09 15:00:00,94313
1,2026-01-09 15:00:00,18232
1,2026-01-09 15:00:00,3034
1,2026-01-09 15:00:00,3033
1,2026-01-09 15:00:00,3051
1,2026-01-09 15:00:00,6964
1,2026-01-09 15:00:00,6742
1,2026-01-09 15:00:00,24309
1,2026-01-09 15:00:00,18162
1,2026-01-09 15:00:00,18232
1,2026-01-09 15:00:00,18162
1,2026-01-09 15:00:00,1570
1,2026-01-09 15:00:00,1546
1,2026-01-09 15:00:00,45261
1,2026-01-09 15:00:00,4176
1,2026-01-09 15:00:00,4317
1,2026-01-09 15:00:00,4541
1,2026-01-09 15:00:00,2556
1,2026-01-09 15:00:00,26060
1,2026-01-09 15:00:00,312
1,2026-01-09 15:00:00,25269
1,2026-01-09 15:00:00,79645
1,2026-01-09 15:00:00,83719
1,2026-01-09 15:00:00,94313
1,2026-01-09 15:00:00,98254
1,2026-01-09 15:00:00,3821
